"geometry","time","cdc42_ratio","cdc42_contrast","rac_ratio","rac_contrast","rho_front_back_ratio","rho_separation","cdc42_boundary_mean","rac_boundary_mean","rho_boundary_mean","cdc42_peaks","rac_peaks","cdc42_dominance","cdc42_peak_position"
"AR 1.29 - 0.5x",78,54.114626855497,0.963711992367403,127.330827190131,0.984415280071117,0.0446553987190339,0.358446626464938,1.47976985565302,4.27197909999994,1.33845160369124,1,1,Inf,0.64375
"AR 1.29 - 0.5x",79,54.5013808175921,0.963964860503685,128.863919200564,0.984599263503582,0.0442384394946156,0.358667478833009,1.48225318536028,4.27519421374547,1.3380737731343,1,1,Inf,0.64375
"AR 1.29 - 0.5x",80,54.8873842211357,0.96421374827481,130.393295252139,0.984778523164656,0.0438287900931985,0.358882499486253,1.48467257803571,4.27838182831495,1.33778797362471,1,1,Inf,0.64375
"AR 1.29 - 0.5x",81,55.2722422099281,0.964458498160801,131.920601207383,0.984953423458569,0.043426393123358,0.359087115917482,1.48704472460174,4.28155831556251,1.33755510055219,1,1,Inf,0.65625
"AR 1.29 - 0.5x",82,55.654558907548,0.964698339576455,133.444972496429,0.98512402536991,0.043031246869816,0.359290402060315,1.48938676760955,4.28474934242798,1.33733188315144,1,1,Inf,0.65625
"AR 1.29 - 0.5x",83,56.0325260671846,0.964932291484968,134.963709334977,0.985290192436038,0.0426433573048178,0.359493330723726,1.49171000986478,4.28798131924182,1.33708968742037,1,1,Inf,0.65625
"AR 1.29 - 0.5x",84,56.4043991567738,0.965159464616328,136.47325913687,0.985451716118778,0.0422627062459239,0.359696577925305,1.49401771831696,4.29127382698402,1.33682218286662,1,1,Inf,0.65625
"AR 1.29 - 0.5x",85,56.768827681874,0.965379252440196,137.970121174303,0.98560841724034,0.0418892262145695,0.359900452406345,1.49630626356361,4.29463612029525,1.3365415976191,1,1,Inf,0.65625
"AR 1.29 - 0.5x",86,57.1251071458815,0.96559146127713,139.451579611093,0.985760217111563,0.0415227844948145,0.360105109221325,1.49856726252352,4.2980673215643,1.3362717923663,1,1,Inf,0.65625
"AR 1.29 - 0.5x",87,57.4734259220329,0.965796428574807,140.91633689526,0.985907189801016,0.0411631769892544,0.360310916451245,1.50078973387295,4.30155862409427,1.33604354576671,1,1,Inf,0.65625
"AR 1.29 - 0.5x",88,57.8150783040881,0.965995114557877,142.365101753942,0.986049603595772,0.0408101306082404,0.360518640456029,1.50296300390954,4.30509668973071,1.33589132387819,1,1,Inf,0.65625
"AR 1.29 - 0.5x",89,58.1523770458462,0.966189017248624,143.800902242841,0.986187931366299,0.0404633275088725,0.360728892540657,1.50508206106225,4.30866891168003,1.33584589336036,1,1,Inf,0.65625
"AR 1.29 - 0.5x",90,58.4879710831922,0.966379757729457,145.228566115889,0.986322781839938,0.0401224658005605,0.360940563523344,1.50715572238498,4.31227161757982,1.33591659628706,1,1,Inf,0.65625
"AR 1.29 - 0.5x",91,58.8238524566495,0.966568518778538,146.653196250477,0.986454746319157,0.0397873220091003,0.361145385860647,1.50921231748408,4.31591922898832,1.33606925937058,1,1,Inf,0.65625
"AR 1.29 - 0.5x",92,59.1607537856575,0.96675573568899,148.078440567603,0.986584243889424,0.0394577643096456,0.361350819675241,1.51129277793753,4.31964630451872,1.33622578757047,1,1,Inf,0.66875
"AR 1.29 - 0.5x",93,59.4981962897346,0.966941163164242,149.505546808389,0.986711453216098,0.0391337231973454,0.361556430728608,1.51343113824208,4.32349525970311,1.33630273808903,1,1,Inf,0.66875
"AR 1.29 - 0.5x",94,59.8349139694913,0.967124141886631,150.933443269756,0.986836341249444,0.0388151512134131,0.361761862098832,1.51563990740955,4.32749711304667,1.33625633525823,1,1,Inf,0.66875
"AR 1.29 - 0.5x",95,60.1693222776763,0.967303871850647,152.359453225006,0.986958743279649,0.0385019883174473,0.361966632516772,1.5179116715194,4.33166114979907,1.33609069514321,1,1,Inf,0.66875
"AR 1.29 - 0.5x",96,60.499868388318,0.967479605202214,153.780158329589,0.987078447124074,0.0381941423566533,0.362170151212913,1.52022912026557,4.33597780517925,1.33583648526953,1,1,Inf,0.66875
"AR 1.29 - 0.5x",97,60.8252373732099,0.967650750972019,155.192114603905,0.987195256270959,0.0378914870074358,0.362371783565341,1.52257316540819,4.3404271440205,1.33552968631739,1,1,Inf,0.66875
"AR 1.29 - 0.5x",98,61.1444595819588,0.967816921838988,156.592336737727,0.987309027574555,0.0375938694918676,0.362570909095673,1.52492652097557,4.34498590153542,1.33520199477923,1,1,Inf,0.66875
"AR 1.29 - 0.5x",99,61.4569899043212,0.967977963666456,157.978611929063,0.987419691392875,0.0373011185375587,0.362767007455947,1.52727432198049,4.34963114238675,1.33487962590691,1,1,Inf,0.66875
